ORDER_NUMBER;VENDOR_ID;VENDOR_NAME;RETAIL_GROUP;ROUTE_LABEL;NET_TOTAL;CURRENCY;EMISION_DATE_PO;CATEGORY;MODE;MBL_NUMBER;CONTAINER_TYPE;CONTAINER_NUMBER;INCOTERMS;LOGISTICS_INCOTERM;PRICE_INCOTERM;DATE_BOOKING_REQUEST;DATE_BOOKING_AUTHORIZED;DATE_CARGA_PO;DATE_THEORICAL_LOAD;CARGA_LISTA_VALIDADA;DIF_LOAD_DATE;ETD_INITIAL_VALIDATED;DATE_ETD_INITIAL;DATE_ETD_UPDATED;DATE_ETD;ETD_DATES_DIFFERENCE;ETA_INICIAL;DATE_ETA_UPDATED;DATE_ETA;ETA_DATES_DIFFERENCE;CASE_NUMBER_FILE;CONSOLIDATOR_NAME;DEPARTURE_PORT;PORT_OF_LOADING_VALIDATED;ARRIVAL_PORT;CUSTOMS_DUA;RECEIPT_NOTE;RECEIPT_NOTE_DATE;FACTORY_PROFORMA_NUMBER;CARGO_INVOICE_NUMBER;FREIGHT_AMOUNT;SERVICE_PROVIDER;CBM;INVOICE;INVOICE_AMOUNT;FACTURA_MERCA;HAS_FACTURE_MERCA;VISIBILITY_NOTES;APPLIES_TLC;COMMENTS;APPLY_TECHNICAL_NOTE;APPLIES_AF;BONDED_WAREHOUSE_ENTER;BONDED_WAREHOUSE_EXIT;REASON;SHIPPING_LINE;FORWADER_DATE;CONTAINER_FREE_DAYS;TARIFF_TYPE;CUSTOMER_TYPE;TRADING_COMPANY;company_id;status;total_amount;ensurence_type;bill_to_id;kanban_status_id;ship_to_id
1103226;202;WORKSITE TOOL LIMITED                                      ;76;Directo SV - FERRETERIA EPA, S.A. DE C.V.;63,719.81;USD;24-10-24;;2;ASSHA500523;3;TRHU4926853;FOB  ;FOB  ;FOB  ;09-01-25;09-01-25;30-11-24;21-01-25;Y;52;Y;01-02-25;06-02-25;06-02-25;5;19-03-25;25-04-25;09-04-25;21;4490;HARMONY (Dropship SV);91;Y;122;-- N/A --;6,847;15-02-25;September Order III;;6,535;1000001;;S25WST-EPA003;63,719.81;S25WST-EPA003                 ;N;TO;N;( 10/01/2025 04:01:00 - MIGUEL SANDOVAL: «Se ha modificado el puerto de embarque. De: no tener puerto a: SHANGHAI, CHINA» ) ( 07/03/2025 01:03:39 - FIORELA AVALOS: «NUEVO ETA 16/05/2025» ) ( 24/03/2025 06:03:10 - MIGUEL SANDOVAL: «ETA 16-04-2025» ) ( 02/04/2025 04:04:25 - FIORELA AVALOS: «ETA VARIABLE 25/04» );N;N;;;PEDIDO COMPRA;5;27-12-24;14;0;EPA;OLO1;1;draft;0;pending;1;1;1
1103227;202;WORKSITE TOOL LIMITED                                      ;76;Directo SV - FERRETERIA EPA, S.A. DE C.V.;43,890.62;USD;24-10-24;;2;ASSHA502093;3;GCXU5832578;FOB  ;FOB  ;FOB  ;04-03-25;04-03-25;30-11-24;10-03-25;Y;100;Y;15-03-25;16-03-25;16-03-25;1;10-05-25;24-05-25;19-05-25;9;4558;HARMONY (Dropship SV);91;Y;122;-- N/A --;6,93;01-04-25;September Order IV;;5,225;1000001;;S25WST-EPA004AB;43,890.62;S25WST-EPA004                 ;N;TO;N;( 04/03/2025 05:03:19 - MIGUEL SANDOVAL: «Se ha modificado el puerto de embarque. De: no tener puerto a: SHANGHAI, CHINA» ) ( 24/03/2025 05:03:19 - MIGUEL SANDOVAL: «ETA 23-04-2025» ) ( 02/04/2025 04:04:44 - FIORELA AVALOS: «ETA VARIABLE 01/05» ) ( 30/04/2025 05:04:43 - MIGUEL SANDOVAL: «ETA 08-05» ) ( 02/05/2025 01:05:12 - FIORELA AVALOS: «ETA VARIABLE 16/05» ) ( 09/05/2025 09:05:50 - FIORELA AVALOS: «ETA VARIABLE 31/05» ) ( 16/05/2025 02:05:26 - FIORELA AVALOS: «ETA VARIABLE 24/05» );N;N;;;MIXTO;5;27-12-24;14;0;EPA;OLO1;1;draft;0;pending;1;1;1
1103238;198;GBR CORPORATION LTD.                                       ;76;Directo VE - FEBECA C.A. ;60,174.5;USD;22-10-24;;2;SHLAG25001194;3;CMAU8629036;FOB  ;CIF  ;FOB  ;08-01-25;08-01-25;15-01-25;20-01-25;Y;5;Y;25-01-25;31-01-25;31-01-25;6;30-03-25;04-04-25;04-04-25;5;4499;Harmony (Drop Ship FEBECA VE);71;Y;121;-- N/A --;6,86;20-02-25;FEB-24101401;IOLFT25-035;6,55;1000022;;0001-222500;60,174.5;0001-222500                   ;N;TO;N;( 27/02/2025 03:02:42 - FIORELA AVALOS: «ETA VARIABLE 06/03» ) ( 10/03/2025 04:03:49 - FIORELA AVALOS: «ETA VARIABLE 13/03» ) ( 13/03/2025 12:03:24 - FIORELA AVALOS: «ETA VARIABLE 16/03» ) ( 20/03/2025 11:03:04 - FIORELA AVALOS: «ETA VARIABLE 20/03» ) ( 27/03/2025 12:03:46 - FIORELA AVALOS: «ETA VARIABLE 29/03» ) ( 02/04/2025 04:04:15 - FIORELA AVALOS: «ETA VARIABLE 04/04» );N;N;;;PEDIDO COMPRA;5;06-01-25;14;1;EPA;OLO1;1;draft;0;pending;1;1;1
1103240;198;GBR CORPORATION LTD.                                       ;76;Directo VE - FEBECA C.A. ;40,479.08;USD;22-10-24;;2;SHPBL25001917;3;BEAU4851238;FOB  ;CIF  ;FOB  ;13-01-25;13-01-25;15-01-25;16-02-25;Y;32;Y;20-02-25;20-02-25;20-02-25;0;15-04-25;04-05-25;05-05-25;20;4535;Harmony (Drop Ship FEBECA VE);71;Y;121;-- N/A --;6,924;26-03-25;FEB-24101403;IOLFT25-070;6,33;1000022;;0001-222552;40,479.08;0001-222552                   ;N;TO;N;( 27/03/2025 12:03:42 - FIORELA AVALOS: «ETA VARIABLE 18/04» ) ( 03/04/2025 07:04:03 - FIORELA AVALOS: «ETA VARIABLE 29/04» ) ( 10/04/2025 02:04:50 - FIORELA AVALOS: «ETA VARIABLE 03/05» ) ( 02/05/2025 01:05:34 - FIORELA AVALOS: «ETA VARIABLE 04/05» );N;N;;;PEDIDO COMPRA;5;06-01-25;14;1;EPA;OLO1;1;draft;0;pending;1;1;1
1103241;198;GBR CORPORATION LTD.                                       ;76;Directo VE - FEBECA C.A. ;35,524.24;USD;22-10-24;;2;SHLAG25005786;3;SEGU5440763;FOB  ;CIF  ;FOB  ;27-02-25;27-02-25;15-01-25;20-02-25;Y;36;Y;13-04-25;15-04-25;15-04-25;2;31-05-25;06-06-25;06-06-25;6;4596;Harmony (Drop Ship FEBECA VE);71;Y;121;-- N/A --;6,971;10-05-25;FEB-24101404;IOLFT25-209;5,7;1000022;;0001-222719;35,524.24;0001-222719                   ;N;TO;N;( 05/05/2025 08:05:47 - MIGUEL SANDOVAL: «ETA 07-06» ) ( 16/05/2025 02:05:48 - FIORELA AVALOS: «ETA VARIABLE 14/06» ) ( 23/05/2025 09:05:11 - FIORELA AVALOS: «ETA VARIABLE 15/06» ) ( 03/06/2025 10:06:16 - FIORELA AVALOS: «NUEVO ETA 06/06/2025» );N;N;;;PEDIDO COMPRA;5;06-01-25;21;1;EPA;OLO1;1;draft;0;pending;1;1;1
1103242;198;GBR CORPORATION LTD.                                       ;76;Directo VE - FEBECA C.A. ;74,601.1;USD;22-10-24;;2;SHLAG25001198;3;SEGU6287134;FOB  ;CIF  ;FOB  ;07-01-25;07-01-25;20-12-24;20-01-25;Y;31;Y;25-01-25;31-01-25;31-01-25;6;14-04-25;22-03-25;22-03-25;-23;4491;Harmony (Drop Ship FEBECA VE);71;Y;121;-- N/A --;6,852;18-02-25;FEB-24101405;IOLFT25-036;6,55;1000022;;0001-222496;74,601.1;0001-222496                   ;N;TO;N;;N;N;;;PEDIDO COMPRA;5;06-01-25;14;0;EPA;OLO1;1;draft;0;pending;1;1;1
1103243;198;GBR CORPORATION LTD.                                       ;76;Directo VE - FEBECA C.A. ;48,899.2;USD;22-10-24;;2;SHLAG25001197;3;CMAU7671849;FOB  ;CIF  ;FOB  ;07-01-25;07-01-25;31-12-24;10-01-25;Y;10;Y;25-01-25;31-01-25;31-01-25;6;14-04-25;23-03-25;23-03-25;-22;4503;Harmony (Drop Ship FEBECA VE);71;Y;121;-- N/A --;6,867;24-02-25;FEB-24101406;IOLFT25-037;6,55;1000022;;0001-222490;48,899.2;0001-222490                   ;N;TO;N;;N;N;;;PEDIDO COMPRA;5;06-01-25;14;1;EPA;OLO1;1;draft;0;pending;1;1;1
1103244;198;GBR CORPORATION LTD.                                       ;76;Directo VE - FEBECA C.A. ;72,275;USD;22-10-24;;2;SHLAG25001193;3;CMAU7279191;FOB  ;CIF  ;FOB  ;07-01-25;07-01-25;31-12-24;10-01-25;Y;10;Y;28-01-25;28-01-25;28-01-25;0;30-03-25;01-04-25;01-04-25;2;4497;Harmony (Drop Ship FEBECA VE);71;Y;157;-- N/A --;6,858;18-02-25;FEB-24101407;IOLFT25-040;6,55;1000022;;0001-222463;72,275;0001-222463                   ;N;TO;N;( 12/02/2025 01:02:28 - MIGUEL SANDOVAL: «Se ha modificado el puerto de arribo. De: no tener puerto a: CABELLO, VENEZUELA» ) ( 27/02/2025 03:02:49 - FIORELA AVALOS: «ETA VARIABLE 24/03» ) ( 10/03/2025 04:03:26 - FIORELA AVALOS: «ETA VARIABLE 26/03» ) ( 13/03/2025 12:03:09 - FIORELA AVALOS: «ETA VARIABLE 31/03» ) ( 20/03/2025 11:03:42 - FIORELA AVALOS: «ETA VARIABLE 06/04» ) ( 27/03/2025 12:03:08 - FIORELA AVALOS: «ETA VARIABLE 01/04» );N;N;;;PEDIDO COMPRA;5;06-01-25;14;1;EPA;OLO1;1;draft;0;pending;1;1;1
1103245;106;NINGBO BEDA  HOME DECORATION LTD;73;Directo CR - FERRETERIA EPA, S.A.;26,604.96;USD;22-10-24;;2;ASNGB414317;3;GESU6895103;FOB  ;FOB  ;FOB  ;02-01-25;02-01-25;15-01-25;13-01-25;Y;-2;Y;16-01-25;16-01-25;18-01-25;2;17-03-25;07-04-25;30-03-25;13;4477;HARMONY (Dropship CR);71;Y;125;-- N/A --;6,842;13-02-25;PI1Oct;;6,625;1000001;;177487;26,604.96;177487;N;OLO-EPA - EPA 48%;Y;( 12/02/2025 08:02:23 - MIGUEL SANDOVAL: «ETA 05-04» ) ( 07/03/2025 01:03:48 - FIORELA AVALOS: «NUEVO ETA 18/04/2025» ) ( 03/04/2025 07:04:06 - FIORELA AVALOS: «ETA VARIABLE 07/04» );Y;N;;;CNY;5;;14;0;EPA;OLO1;1;draft;0;pending;1;1;1
1103246;106;NINGBO BEDA  HOME DECORATION LTD;73;ZF - OVERSEAS LOGISTICS OPERATIONS;29,476.34;USD;22-10-24;;2;ASNGB414316;3;GESU6895103;FOB  ;;;02-01-25;02-01-25;15-01-25;13-01-25;Y;-2;Y;16-01-25;16-01-25;18-01-25;2;17-03-25;07-04-25;30-03-25;13;4488;HARMONY (ZF);71;Y;125;52025257310;6,985;20-05-25;PI1Oct;SJOTS0005591;3,439.93;1000001;;177487-1;29,476.34;177487-1                      ;N;OLO-EPA - Harmony 52%;N;( 12/02/2025 08:02:38 - MIGUEL SANDOVAL: «ETA 05-04» ) ( 10/03/2025 04:03:50 - FIORELA AVALOS: «ETA VARIABLE 08/04» ) ( 27/03/2025 12:03:39 - FIORELA AVALOS: «ETA VARIABLE 07/04» );Y;N;;;MIXTO;5;;14;0;EPA;OLO1;1;draft;0;pending;1;1;1
