NAME PORT;CODE;COUNTRY;CITY;LATITUD;LONGITUD;TYPE;;NAME SHIPPING LINE;TYPE;CODE;;transporte:;;Contenedor
Chicago Meigs Airport;USCGX;US;Chicago;4.185.879.898;-8.760.790.253;air;;;;;;;;
Laguindingan Airport;PHCGY;PH;Cagayan de Oro City;8.612.203;124.456.496;air;;;;;;;;
Casa Grande Municipal Airport;USCGZ;US;Casa Grande;32.954.899;-111.766.998;air;;;;;;;;
Lovell Field;USCHA;US;Chattanooga;3.503.530.121;-8.520.379.639;air;;;;;;;;
Chilas Airport;PKCHB;PK;Chilas;3.542.670.059;7.408.170.319;air;;;;;;;;
Christchurch International Airport;NZCHC;NZ;Christchurch;-4.348.939.896;1.725.319.977;air;;;;;;;;
Reeroe Airport;IECHE;IE;Caherciveen;5.193.333.435;-1.023.333.263;air;;;;;;;;
Jinhae Airbase / Airport(G - 813 / K - 10);KRCHF;KR;Jinhae;35.140.248;128.696.229;air;;;;;;;;
Chachapoyas Airport;PECHH;PE;Chachapoyas;-6.201.809.883;-7.785.610.199;air;;;;;;;;
Chipinge Airport;ZWCHJ;ZW;Chipinge;-2.020.669.937;3.262.829.971;air;;;;;;;;
Chickasha Municipal Airport;USCHK;US;Chickasha;3.509.740.067;-9.796.769.714;air;;;;;;;;
Challis Airport;USCHL;US;Challis;44.522.999;-114.218.002;air;;;;;;;;
Teniente FAP Jaime A De Montreuil Morales Airport;PECHM;PE;Chimbote;-9.149.609.566;-7.852.380.371;air;;;;;;;;
Jeon Ju Airport(G - 703);KRCHN;KR;Jeon Ju;3.587.808;127.119.112;air;;;;;;;;
Charlottesville Albemarle Airport;USCHO;US;Charlottesville;381.385.994;-7.845.290.375;air;;;;;;;;
Circle Hot Springs Airport;USCHP;US;Circle Hot Springs;6.548.549.652;-1.446.109.924;air;;;;;;;;
Chania International Airport;GRCHQ;GR;Souda;3.553.170.013;2.414.970.016;air;;;;;;;;
Châteauroux - Déols Marcel Dassault Airport;FRCHR;FR;Châteauroux / Déols;686.027.778;17.211.111;air;;;;;;;;
Charleston Air Force Base - International Airport;USCHS;US;Charleston;3.289.860.153;-8.004.049.683;air;;;;;;;;
Chatham Islands - Tuuta Airport;NZCHT;NZ;Waitangi;-4.381.000.137;-1.764.570.007;air;;;;;;;;
Chuathbaluk Airport;USCHU;US;Chuathbaluk;61.579.102;-159.216.003;air;;;;;;;;
Aerodromo de Chaves;PTCHV;PT;Chaves;41.722.356;-7.463.064;air;;;;;;;;
Cap Manuel Niño International Airport;PACHX;PA;Changuinola;9.458.962;-82.515.062;air;;;;;;;;
Choiseul Bay Airport;SBCHY;SB;;-6.711.944;156.396.111;air;;;;;;;;
Chiloquin State Airport;USCHZ;US;Chiloquin;4.257.944.049;-1.218.790.627;air;;;;;;;;
Ciampino–G . B . Pastine International Airport;ITCIA;IT;Rome;417.994;125.949;air;;;;;;;;
Chico Municipal Airport;USCIC;US;Chico;3.979.539.871;-1.218.580.017;air;;;;;;;;
The Eastern Iowa Airport;USCID;US;Cedar Rapids;4.188.470.078;-9.171.080.017;air;;;;;;;;
Collie Airport;AUCIE;AU;Collie;-3.336.669.922;1.162.170.029;air;;;;;;;;
Chifeng Airport;CNCIF;CN;Chifeng;4.223.500.061;1.189.079.971;air;;;;;;;;
Craig Moffat Airport;USCIG;US;Craig;4.049.520.111;-1.075.220.032;air;;;;;;;;
Changzhi Airport;CNCIH;CN;Changzhi;36.247.501;113.125.999;air;;;;;;;;
Çıldır Airport;TRCII;TR;Aydın;3.781.499.863;2.789.529.991;air;;;;;;;;
Capitán Aníbal Arab Airport;BOCIJ;BO;Cobija;4,04E+18;-6.878.299.713;air;;;;;;;;
Chalkyitsik Airport;USCIK;US;Chalkyitsik;6.664.499.664;-1.437.400.055;air;;;;;;;;
Council Airport;USCIL;US;Council;8,98E+18;-1.637.030.029;air;;;;;;;;
Cimitarra Airport;COCIM;CO;Cimitarra;6.367;-73.967;air;;;;;;;;
Arthur N Neu Airport;USCIN;US;Carroll;420.461.998;-9.478.900.146;air;;;;;;;;
Teniente Col Carmelo Peralta Airport;PYCIO;PY;Concepción;-23.442.363;-57.427.253;air;;;;;;;;
Chipata Airport;ZMCIP;ZM;Chipata;1.355.830.002;3.258.720.016;air;;;;;;;;
Chiquimula Airport;GTCIQ;GT;Chiquimula;1.483.092;-89.520.938;air;;;;;;;;
Cairo Regional Airport;USCIR;US;Cairo;370.644.989;-8.921.959.686;air;;;;;;;;
Canton Island Airport;KICIS;KI;Abariringa;6,81E+23;-1.717.100.067;air;;;;;;;;
Shymkent Airport;KZCIT;KZ;Shymkent;4.236.420.059;6.947.889.709;air;;;;;;;;
Chippewa County International Airport;USCIU;US;Sault Ste Marie;4.625.080.109;-8.447.239.685;air;;;;;;;;
Chomley Seaplane Base;USCIV;US;Chomley;55.217;-132.21;air;;;;;;;;
Canouan Airport;VCCIW;VC;Canouan;12.699;-613.424;air;;;;;;;;
Capitan FAP Jose A Quinones Gonzales International Airport;PECIX;PE;Chiclayo;-6.787.479.877;-7.982.810.211;air;;;;;;;;
Comiso Airport;ITCIY;IT;Comiso;36.994.601;14.607.182;air;;;;;;;;
Coari Airport;BRCIZ;BR;Coari;-4.134.059.906;-6.313.259.888;air;;;;;;;;
Mayor General FAP Armando Revoredo Iglesias Airport;PECJA;PE;Cajamarca;7.139.180.183;-7.848.940.277;air;;;;;;;;
Coimbatore International Airport;INCJB;IN;Coimbatore;1.102.999.973;7.704.340.363;air;;;;;;;;
El Loa Airport;CLCJC;CL;Calama;-2.249.819.946;-689.036.026;air;;;;;;;;
Coondewanna Airport;AUCJF;AU;Coondewanna;-229.666.996;1.188.130.035;air;;;;;;;;
Chilko Lake(Tsylos Park Lodge) Airport;CACJH;CA;Chilko Lake;6,26E+27;-1.241.419.983;air;;;;;;;;
Cheongju International Airport / Cheongju Air Base(K - 59 / G - 513);KRCJJ;KR;Cheongju;36.717.008;127.498.741;air;;;;;;;;
Chitral Airport;PKCJL;PK;Chitral;3.588.660.049;7.180.059.814;air;;;;;;;;
Chumphon Airport;THCJM;TH;;1.071.119.976;9.936.170.197;air;;;;;;;;
Abraham González International Airport;MXCJS;MX;Ciudad Juárez;3.163.610.077;-1.064.290.009;air;;;;;;;;
San Antonio Copalar Airport;MXCJT;MX;Comitán;16.176.701;-92.050.598;air;;;;;;;;
Jeju International Airport;KRCJU;KR;Jeju City;3.351.129.913;1.264.929.962;air;;;;;;;;
Kegelman AF Aux Field;USCKA;US;Cherokee;367.439.003;-9.812.310.028;air;;;;;;;;
North Central West Virginia Airport;USCKB;US;Clarksburg;3.929.660.034;-8.022.810.364;air;;;;;;;;
Cherkasy International Airport;UACKC;UA;Cherkasy;4.941.559.982;3.199.530.029;air;;;;;;;;
Crooked Creek Airport;USCKD;US;Crooked Creek;6.186.790.085;-1.581.349.945;air;;;;;;;;
Lampson Field;USCKE;US;Lakeport;3.899.060.059;-122.901.001;air;;;;;;;;
Chongqing Jiangbei International Airport;CNCKG;CN;Chongqing;2.971.920.013;1.066.419.983;air;;;;;;;;
Chokurdakh Airport;RUCKH;RU;Chokurdah;7.062.310.028;1.479.019.928;air;;;;;;;;
Croker Island Airport;AUCKI;AU;;-1.116.499.996;1.324.830.017;air;;;;;;;;
Sharp County Regional Airport;USCKK;US;Ash Flat;3.626.490.021;-9.156.259.918;air;;;;;;;;
Chkalovskiy Air Base;RUCKL;RU;Moscow;558.783;38.061.699;air;;;;;;;;
Fletcher Field;USCKM;US;Clarksdale;3.429.970.169;-9.051.229.858;air;;;;;;;;
Crookston Municipal Kirkwood Field;USCKN;US;Crookston;4.784.170.151;-9.662.159.729;air;;;;;;;;
Cornélio Procópio Airport;BRCKO;BR;Cornélio Procópio;-2.315.250.015;-5.060.250.092;air;;;;;;;;
Crane Island Airstrip;USCKR;US;Crane Island;485.978;-1.229.979;air;;;;;;;;
Carajás Airport;BRCKS;BR;Parauapebas;-6.115.277.767;-5.000.138.855;air;;;;;;;;
Sarakhs Airport;IRCKT;IR;Sarakhs;3.650.120.163;6.106.489.944;air;;;;;;;;
Cordova Municipal Airport;USCKU;US;Cordova;6.054.389.954;-145.727.005;air;;;;;;;;
Clarksville–Montgomery County Regional Airport;USCKV;US;Clarksville;3.662.189.865;-8.741.500.092;air;;;;;;;;
Graeme Rowley Aerodrome;AUCKW;AU;Christmas Creek Mine;-223.543;1.196.426;air;;;;;;;;
Chicken Airport;USCKX;US;Chicken;6.407.129.669;-1.419.519.959;air;;;;;;;;
Conakry International Airport;GNCKY;GN;Conakry;957.689;-13.612;air;;;;;;;;
Çanakkale Airport;TRCKZ;TR;Çanakkale;4.013.769.913;2.642.679.977;air;;;;;;;;
Comilla Airport;BDCLA;BD;Comilla;3.437.200.546;9.118.969.727;air;;;;;;;;
Castlebar Airport;IECLB;IE;Castlebar;538.484;-928.037;air;;;;;;;;
Clear Lake Metroport;USCLC;US;Clear Lake;295.555;-951.383;air;;;;;;;;
Mc Clellan - Palomar Airport;USCLD;US;Carlsbad;3.312.829.971;-1.172.799.988;air;;;;;;;;
Cleveland Hopkins International Airport;USCLE;US;Cleveland;414.117.012;-8.184.980.011;air;;;;;;;;
New Coalinga Municipal Airport;USCLG;US;Coalinga;361.631.012;-1.202.939.987;air;;;;;;;;
Coolah Airport;AUCLH;AU;;-3.177.330.017;1.496.100.006;air;;;;;;;;
Clintonville Municipal Airport;USCLI;US;Clintonville;1.38E+13;-8.873.130.035;air;;;;;;;;
Cluj - Napoca International Airport;ROCLJ;RO;Cluj - Napoca;4.678.519.821;2.368.619.919;air;;;;;;;;
Clinton Regional Airport;USCLK;US;Clinton;3.553.829.956;-9.893.270.111;air;;;;;;;;
Easterwood Field;USCLL;US;College Station;3.058.860.016;-9.636.380.005;air;;;;;;;;
William R Fairchild International Airport;USCLM;US;Port Angeles;839844;-123.5;air;;;;;;;;
Brig . Lysias Augusto Rodrigues Airport;BRCLN;BR;Carolina;-7.320.439.816;-4.745.869.827;air;;;;;;;;
Alfonso Bonilla Aragon International Airport;COCLO;CO;Cali;354.322;-763.816;air;;;;;;;;
Clarks Point Airport;USCLP;US;Clarks Point;5.883.369.827;-158.529.007;air;;;;;;;;
Licenciado Miguel de la Madrid Airport;MXCLQ;MX;Colima;19.277;-103.577.002;air;;;;;;;;
Cliff Hatfield Memorial Airport;USCLR;US;Calipatria;1,32E+23;-1.155.210.037;air;;;;;;;;
Chehalis Centralia Airport;USCLS;US;Chehalis;6,77E+23;-1.229.830.017;air;;;;;;;;
Charlotte Douglas International Airport;USCLT;US;Charlotte;352.140.007;-8.094.309.998;air;;;;;;;;
Columbus Municipal Airport;USCLU;US;Columbus;3.926.190.186;-8.589.630.127;air;;;;;;;;
Nelson Ribeiro Guimarães Airport;BRCLV;BR;Caldas Novas;-1.772.529.984;-4.860.749.817;air;;;;;;;;
Clearwater Air Park;USCLW;US;Clearwater;2.797.669.983;-8.275.869.751;air;;;;;;;;
Clorinda Airport;ARCLX;AR;Clorinda;-253.036;-577.344;air;;;;;;;;
Calvi - Sainte - Catherine Airport;FRCLY;FR;Calvi / Sainte - Catherine;425.244.444;87.930.556;air;;;;;;;;
Calabozo Airport;VECLZ;VE;Guarico;8.924.655.914;-6.741.709.137;air;;;;;;;;
Cunnamulla Airport;AUCMA;AU;;2.803.000.069;145.621.994;air;;;;;;;;
Bandaranaike International Colombo Airport;LKCMB;LK;Colombo;7.180.759.907;7.988.410.187;air;;;;;;;;
Camocim Airport;BRCMC;BR;Camocim;-2.896.179.914;-4.085.800.171;air;;;;;;;;
Cootamundra Airport;AUCMD;AU;;-3.462.390.137;1.480.279.999;air;;;;;;;;
Ciudad del Carmen International Airport;MXCME;MX;Ciudad del Carmen;1.865.369.987;-917.990.036;air;;;;;;;;
Chambéry - Savoie Airport;FRCMF;FR;Chambéry / Aix - les - Bains;4.563.809.967;588.022.995;air;;;;;;;;
Corumbá International Airport;BRCMG;BR;Corumbá;-1.901.194.382;-5.767.139.053;air;;;;;;;;
John Glenn Columbus International Airport;USCMH;US;Columbus;39.998.001;-82.891.899;air;;;;;;;;
University of Illinois Willard Airport;USCMI;US;Champaign / Urbana;4.003.919.983;-8.827.809.906;air;;;;;;;;
Chi Mei Airport;TWCMJ;TW;Chi Mei;2.321.310.043;1.194.179.993;air;;;;;;;;
Club Makokola Airport;MWCMK;MW;Club Makokola;1.430.690.002;3.513.249.969;air;;;;;;;;
Camooweal Airport;AUCML;AU;;95043945;138.125;air;;;;;;;;
Carmelita Airport;GTCMM;GT;Carmelita;1.746.120.071;-9.005.370.331;air;;;;;;;;
Mohammed V International Airport;MACMN;MA;Casablanca;3.336.750.031;-7.589.970.112;air;;;;;;;;
Obbia Airport;SOCMO;SO;Obbia;5.366.666.794;4.851.666.641;air;;;;;;;;
Santana do Araguaia Airport;BRCMP;BR;Santana Do Araguaia;-9.319.970.131;-5.032.849.884;air;;;;;;;;
Clermont Airport;AUCMQ;AU;;-227.730.999;1.476.210.022;air;;;;;;;;
Colmar - Houssen Airport;FRCMR;FR;Colmar / Houssen;4.810.990.143;735.901.022;air;;;;;;;;
Scusciuban Airport;SOCMS;SO;Scusciuban;1.030.000.019;5.023.300.171;air;;;;;;;;
New Cametá Airport;BRCMT;BR;Cametá;-22.468;-49.56;air;;;;;;;;
Chimbu Airport;PGCMU;PG;Kundiawa;-6.024.290.085;144.970.993;air;;;;;;;;
Coromandel Aerodrome;NZCMV;NZ;;-3.679.169.846;1.755.090.027;air;;;;;;;;
Ignacio Agramonte International Airport;CUCMW;CU;Camaguey;2.142.029.953;-7.784.750.366;air;;;;;;;;
Houghton County Memorial Airport;USCMX;US;Hancock;4.716.839.981;-884.890.976;air;;;;;;;;
Sparta Fort Mc Coy Airport;USCMY;US;Sparta;43.958.302;-907.379;air;;;;;;;;
Caia Airport;MZCMZ;MZ;Caia;-178.331;353.341;air;;;;;;;;
Cananea National Airport;MXCNA;MX;Cananea;3.106.615;-110.097.878;air;;;;;;;;
Coonamble Airport;AUCNB;AU;;-3.098.329.926;1.483.760.071;air;;;;;;;;
Coconut Island Airport;AUCNC;AU;;-1.005.000.019;1.430.700.073;air;;;;;;;;
Mihail Kogălniceanu International Airport;ROCND;RO;Constanţa;4.436.220.169;2.848.830.032;air;;;;;;;;
Fremont County Airport;USCNE;US;Cañon City;4,28E+23;-1.051.060.028;air;;;;;;;;
Tancredo Neves International Airport;BRCNF;BR;Belo Horizonte;-1.962.444.305;-439.719.429;air;;;;;;;;
Cognac - Châteaubernard(BA 709) Air Base;FRCNG;FR;Cognac / Châteaubernard;4.565.829.849;-0.317499995;air;;;;;;;;
Claremont Municipal Airport;USCNH;US;Claremont;4.337.039.948;-7.236.869.812;air;;;;;;;;
Changhai Airport;CNCNI;CN;Changhai;3.926.666.667;1.226.669.444;air;;;;;;;;
Cloncurry Airport;AUCNJ;AU;Cloncurry;6,86E+18;1.405.039.978;air;;;;;;;;
Blosser Municipal Airport;USCNK;US;Concordia;5,49E+23;-9.765.229.797;air;;;;;;;;
Sindal Airport;DKCNL;DK;Sindal;7.503.502;102.294;air;;;;;;;;
Cavern City Air Terminal;USCNM;US;Carlsbad;3.233.750.153;-1.042.630.005;air;;;;;;;;
Kannur International Airport;INCNN;IN;Kannur;11.918.614;75.547.211;air;;;;;;;;
Chino Airport;USCNO;US;Chino;3.397.470.093;-117.637.001;air;;;;;;;;
Neerlerit Inaat Airport;GLCNP;GL;Neerlerit Inaat;7.074.310.303;-2.265.049.934;air;;;;;;;;
Corrientes Airport;ARCNQ;AR;Corrientes;-274.455;-587.619;air;;;;;;;;
Chañaral Airport;CLCNR;CL;Chañaral;2.633.250.046;-706.072.998;air;;;;;;;;
Cairns International Airport;AUCNS;AU;Cairns;-1.688.579.941;1.457.550.049;air;;;;;;;;
Charata Airport;ARCNT;AR;Charata;-272.164;-612.103;air;;;;;;;;
Chanute Martin Johnson Airport;USCNU;US;Chanute;3.766.880.035;-9.548.509.979;air;;;;;;;;
Sócrates Rezende Airport;BRCNV;BR;Canavieiras;-1.566.699.982;-3.895.470.047;air;;;;;;;;
TSTC Waco Airport;USCNW;US;Waco;6,38E+23;-9.707.409.668;air;;;;;;;;
Chiang Mai International Airport;THCNX;TH;Chiang Mai;6,80E+17;9.896.260.071;air;;;;;;;;
Canyonlands Field;USCNY;US;Moab;3.875.500.107;-1.097.549.973;air;;;;;;;;
Cangamba Airport;AOCNZ;AO;Cangamba;-137.106;19.861.099;air;;;;;;;;
Columbia Airport;USCOA;US;Columbia;3,04E+18;-1.204.150.009;air;;;;;;;;
Coolibah Airport;AUCOB;AU;Coolibah;-1.554.829.979;1.309.620.056;air;;;;;;;;
Comodoro Pierrestegui Airport;ARCOC;AR;Concordia;-312.969;-579.966;air;;;;;;;;
Yellowstone Regional Airport;USCOD;US;Cody;4.452.019.882;-1.090.240.021;air;;;;;;;;
Coeur D'Alene - Pappy Boyington Field;USCOE;US;Coeur d'Alene;4.777.429.962;-1.168.199.997;air;;;;;;;;
Patrick Air Force Base;USCOF;US;Cocoa Beach;2.823.489.952;-8.061.009.979;air;;;;;;;;
Mandinga Airport;COCOG;CO;Condoto;0.08333;-76.7;air;;;;;;;;
Cooch Behar Airport;INCOH;IN;;2.633.049.965;8.946.720.123;air;;;;;;;;
Merritt Island Airport;USCOI;US;Merritt Island;3,42E+23;-806.855.011;air;;;;;;;;
Coonabarabran Airport;AUCOJ;AU;;-3.133.250.046;1.492.669.983;air;;;;;;;;
Cochin International Airport;INCOK;IN;Kochi;10.152;76.401.901;air;;;;;;;;
Coll Airport;GBCOL;GB;Coll Island;5.660.189.819;-6.617.780.209;air;;;;;;;;
Coleman Municipal Airport;USCOM;US;Coleman;8,41E+23;-994.036.026;air;;;;;;;;
Concord Municipal Airport;USCON;US;Concord;4.320.270.157;-7.150.229.645;air;;;;;;;;
Cadjehoun Airport;BJCOO;BJ;Cotonou;6.357.230.186;2.384.350.061;air;;;;;;;;
Cooperstown - Westville Airport;USCOP;US;Cooperstown;4.262.919.998;-7.489.099.884;air;;;;;;;;
Choibalsan Airport;MNCOQ;MN;;4.813.570.023;1.146.460.037;air;;;;;;;;
Ingeniero Ambrosio Taravella Airport;ARCOR;AR;Cordoba;1.323.601;-64.208;air;;;;;;;;
City of Colorado Springs Municipal Airport;USCOS;US;Colorado Springs;38.805.801;-104.700.996;air;;;;;;;;
Cotulla - La Salle County Airport;USCOT;US;Cotulla;2.845.669.937;-9.922.029.877;air;;;;;;;;
Columbia Regional Airport;USCOU;US;Columbia;3.881.809.998;-9.221.959.686;air;;;;;;;;
Tambillos Airport;CLCOW;CL;Coquimbo;-30.198.889;-71.246.944;air;;;;;;;;
Congo Town Airport;BSCOX;BS;Andros;24.158.701;-77.589.798;air;;;;;;;;
Coolawanyah Airport;AUCOY;AU;Coolawanyah Station;-217.946;117.755;air;;;;;;;;
Constanza - Expedición 14 de Junio National Airport;DOCOZ;DO;Costanza;1.890.749.931;-7.072.190.094;air;;;;;;;;
Cape Palmas Airport;LRCPA;LR;Harper;4.379.020.214;-7.696.949.959;air;;;;;;;;
Capurganá Airport;COCPB;CO;Capurganá;863.333;-77.35;air;;;;;;;;
Aviador C . Campos Airport;ARCPC;AR;Chapelco / San Martin de los Andes;-40.075.401;-71.137.299;air;;;;;;;;
Coober Pedy Airport;AUCPD;AU;;2.904.000.092;134.720.993;air;;;;;;;;
Ingeniero Alberto Acuña Ongay International Airport;MXCPE;MX;Campeche;8,17E+23;-9.050.029.755;air;;;;;;;;
Ngloram Airport;IDCPF;ID;Tjepu - Java Island;-7.194.841.667;1.115.481.667;air;;;;;;;;
Carmen De Patagones Airport;ARCPG;AR;Carmen de Patagones;-407.781;-629.803;air;;;;;;;;
Copenhagen Kastrup Airport;DKCPH;DK;Copenhagen;5.561.790.085;1.265.600.014;air;;;;;;;;
Cape Orford Airport;PGCPI;PG;;-5.448.333.333;1.520.819.444;air;;;;;;;;
Chaparral Airport;COCPL;CO;Chaparral;3.717;-75.467;air;;;;;;;;
Compton Woodley Airport;USCPM;US;Compton;3.388.999.939;-1.182.440.033;air;;;;;;;;
Cape Rodney Airport;PGCPN;PG;Cape Rodney;-10.179.823;1.483.790.302;air;;;;;;;;
Desierto de Atacama Airport;CLCPO;CL;Copiapo;-2.726.119.995;-7.077.919.769;air;;;;;;;;
Coposa Airport;CLCPP;CL;Pica;-207.505;-68.683.502;air;;;;;;;;
Amarais Airport;BRCPQ;BR;Campinas;-2.285.919.952;-4.710.820.007;air;;;;;;;;
Casper - Natrona County International Airport;USCPR;US;Casper;4.290.800.095;-1.064.639.969;air;;;;;;;;
St Louis Downtown Airport;USCPS;US;Cahokia / St Louis;5,71E+27;-9.015.619.659;air;;;;;;;;
Cape Town International Airport;ZACPT;ZA;Cape Town;-3.396.480.179;1.860.169.983;air;;;;;;;;
Cururupu Airport;BRCPU;BR;Cururupu;-1.821.111;-44.866.944;air;;;;;;;;
Presidente João Suassuna Airport;BRCPV;BR;Campina Grande;-726.992;-358.964;air;;;;;;;;
Benjamin Rivera Noriega Airport;PRCPX;PR;Culebra Island;18.313.289;-65.304.324;air;;;;;;;;
Canarana Airport;BRCQA;BR;Canarana;-1.357.444.382;-522.705.574;air;;;;;;;;
Shahrekord Airport;IRCQD;IR;Shahrekord;3.229.719.925;5.084.220.123;air;;;;;;;;
Calais - Dunkerque Airport;FRCQF;FR;Calais / Dunkerque;5.096.210.098;1.954.759.955;air;;;;;;;;
Ciudad Real Central Airport;ESCQM;ES;Ciudad Real;888889;-3.97;air;;;;;;;;
Cape Flattery Airport;AUCQP;AU;;-14.970.832;145.311.667;air;;;;;;;;
Costa Marques Airport;BRCQS;BR;Costa Marques;-1.242.109.966;-6.425.160.217;air;;;;;;;;
Caquetania Airport;COCQT;CO;Caquetania;2.033.333;-74.216.667;air;;;;;;;;
Craiova Airport;ROCRA;RO;Craiova;4.431.809.998;238.885.994;air;;;;;;;;
Collarenebri Airport;AUCRB;AU;;-2.952.169.991;1.485.820.007;air;;;;;;;;
Santa Ana Airport;COCRC;CO;Cartago;475.818;-759.557;air;;;;;;;;
General E . Mosconi Airport;ARCRD;AR;Comodoro Rivadavia;-457.853;-674.655;air;;;;;;;;
Grand Strand Airport;USCRE;US;North Myrtle Beach;3.381.169.891;-7.872.389.984;air;;;;;;;;
Carnot Airport;CFCRF;CF;Carnot;4.936.999.798;1.589.400.005;air;;;;;;;;
Jacksonville Executive at Craig Airport;USCRG;US;Jacksonville;303.362.999;-8.151.439.667;air;;;;;;;;
Cherrabah Airport;AUCRH;AU;Cherrabah Homestead Resort;-284.301;15.208.895;air;;;;;;;;
Colonel Hill Airport;BSCRI;BS;Colonel Hill;7,46E+23;-7.418.240.356;air;;;;;;;;
Coorabie Airport;AUCRJ;AU;Coorabie;-3.189.439.964;1.322.960.052;air;;;;;;;;
Diosdado Macapagal International Airport;PHCRK;PH;Angeles / Mabalacat;15.186;120.559.998;air;;;;;;;;
Brussels South Charleroi Airport;BECRL;BE;Brussels;0.459202;445.382;air;;;;;;;;
Catarman National Airport;PHCRM;PH;Catarman;125.024.004;1.246.360.016;air;;;;;;;;
Corcoran Airport;USCRO;US;Corcoran;36.102.502;-119.595.001;air;;;;;;;;
Corpus Christi International Airport;USCRP;US;Corpus Christi;2.777.039.909;-9.750.119.781;air;;;;;;;;
Caravelas Airport;BRCRQ;BR;Caravelas;-1.765.229.988;-3.925.310.135;air;;;;;;;;
Ceres Airport;ARCRR;AR;Ceres;-29.872.292;-61.927.925;air;;;;;;;;
C David Campbell Field Corsicana Municipal Airport;USCRS;US;Corsicana;3.202.809.906;-9.640.059.662;air;;;;;;;;
Z M Jack Stell Field;USCRT;US;Crossett;3.317.829.895;-9.188.020.325;air;;;;;;;;
Lauriston Airport;GDCRU;GD;Carriacou Island;1.247.609.997;-6.147.280.121;air;;;;;;;;
Crotone Airport;ITCRV;IT;Crotone;389.972;170.802;air;;;;;;;;
Yeager Airport;USCRW;US;Charleston;3.837.310.028;-8.159.320.068;air;;;;;;;;
Roscoe Turner Airport;USCRX;US;Corinth;3.491.500.092;-8.860.350.037;air;;;;;;;;
Carlton Hill Airport;AUCRY;AU;Carlton Hill;-1.550.189.972;1.285.339.966;air;;;;;;;;
Turkmenabat Airport;TMCRZ;TM;Türkmenabat;3.908.330.154;6.361.330.032;air;;;;;;;;
Colonsay Airstrip;GBCSA;GB;Colonsay;5.605.749.893;-6.243.060.112;air;;;;;;;;
Caransebeş Airport;ROCSB;RO;Caransebeş;4.541.999.817;2.225.329.971;air;;;;;;;;
Mojica Airport;CRCSC;CR;Cañas;104.307.003;-8.517.459.869;air;;;;;;;;
Cresswell Downs Airport;AUCSD;AU;Cresswell Downs;-1.794.799.995;1.359.160.004;air;;;;;;;;
Crested Butte Airpark;USCSE;US;Crested Butte;38.851.918;-106.928.341;air;;;;;;;;
Creil Air Base;FRCSF;FR;Creil;4.925.350.189;2.519.140.005;air;;;;;;;;
Columbus Metropolitan Airport;USCSG;US;Columbus;325.163.002;-8.493.890.381;air;;;;;;;;
Solovki Airport;RUCSH;RU;Solovetsky Islands;6.502.999.878;3.573.333.359;air;;;;;;;;
Casino Airport;AUCSI;AU;;-2.888.279.915;1.530.670.013;air;;;;;;;;
Cap Skirring Airport;SNCSK;SN;Cap Skirring;1.239.533;-16.748;air;;;;;;;;
Clinton Sherman Airport;USCSM;US;Clinton;3.533.980.179;-9.920.050.049;air;;;;;;;;
Carson Airport;USCSN;US;Carson City;3.919.219.971;-1.197.340.012;air;;;;;;;;
Cochstedt Airport;DECSO;DE;Magdeburg;1.856.399.536;1.142.029.953;air;;;;;;;;
Creston Municipal Airport;USCSQ;US;Creston;4.102.140.045;-9.436.329.651;air;;;;;;;;
Casuarito Airport;COCSR;CO;Casuarito;5.833.333;-68.133.333;air;;;;;;;;
Cassilândia Airport;BRCSS;BR;Cassilândia;-1.914.638.901;-5.168.527.985;air;;;;;;;;
Castaway Island Seaplane Base;FJCST;FJ;Castaway Island;-177.358;177.129;air;;;;;;;;
Santa Cruz do Sul Airport;BRCSU;BR;Santa Cruz Do Sul;-296.840.992;-5.241.220.093;air;;;;;;;;
Crossville Memorial Whitson Field;USCSV;US;Crossville;3.595.130.157;-8.508.499.908;air;;;;;;;;
Changsha Huanghua International Airport;CNCSX;CN;Changsha;8,92E+18;1.132.200.012;air;;;;;;;;
Cheboksary Airport;RUCSY;RU;Cheboksary;6.090.301.514;4.734.730.148;air;;;;;;;;
Brigadier D . H . E . Ruiz Airport;ARCSZ;AR;Coronel Suarez;-37.446.098;-61.889.301;air;;;;;;;;
Catania - Fontanarossa Airport;ITCTA;IT;Catania;7.466.801;150.664;air;;;;;;;;
Cut Bank International Airport;USCTB;US;Cut Bank;4.860.839.844;-1.123.759.995;air;;;;;;;;
Catamarca Airport;ARCTC;AR;Catamarca;-2.859.560.013;-6.575.170.136;air;;;;;;;;
Alonso Valderrama Airport;PACTD;PA;Chitré;7.987.840.176;-8.040.969.849;air;;;;;;;;
Carti Airport;PACTE;PA;Carti;9.313.469.887;-7.910.160.065;air;;;;;;;;
Coatepeque Airport;GTCTF;GT;Coatepeque;1.469.419.956;-9.188.249.969;air;;;;;;;;
Rafael Nuñez International Airport;COCTG;CO;Cartagena;104.424;-75.513;air;;;;;;;;
Chester County G O Carlson Airport;USCTH;US;Coatesville;3.997.900.009;-758.655.014;air;;;;;;;;
Cuito Cuanavale Airport;AOCTI;AO;Cuito Cuanavale;-1.516.030.025;1.915.609.932;air;;;;;;;;
Canton Municipal Airport;USCTK;US;Canton;43.308.899;-96.570.999;air;;;;;;;;
Charleville Airport;AUCTL;AU;Charleville;-2.641.329.956;1.462.619.934;air;;;;;;;;
