ORDER_NUMBER;VENDOR_ID;VENDOR_NAME;RETAIL_GROUP;EMISION_DATE_PO;ROUTE_LABEL;TOTAL_AMOUNT;CURRENCY;CATEGORY;INCOTERMS;LOGISTICS_INCOTERM;PRICE_INCOTERM;DEPARTURE_PORT_ID;ARRIVAL_PORT_ID;DATE_THEORICAL_LOAD;DATE_CARGA_PO;CASE_NUMBER_FILE;CONSOLIDATOR_NAME;CUSTOMS_DUA;RECEIPT_NOTE;RECEIPT_NOTE_DATE;FACTORY_PROFORMA_NUMBER;INVOICE;INVOICE_AMOUNT;APPLY_TECHNICAL_NOTE;APPLIES_TLC;REASON;CUSTOMER_TYPE;TRADING_COMPANY;Estado o Etapa;Contenedor;Naviera;Tipo de contenedor;Documento de transito;Solicitud de booking;Autorizacion de booking;Fecha de asignacion de agente de carga;ETD inicial;ETD variable;ATD;ETA Inicial;ETA Variable;ATA;Monto de flete;Factura de flete;Tipo de tarifa;Proveedor de servicio;Ingreso a AF;Salida de Almacen fiscal;Usa Almacen fiscal
6701260;329;TAIZHOU BAOLI LEISURE PRODUCTS CO.,LTD                     ;85;2025-08-14;Directo VE - FERRETERIA EPA, C.A.;15694,60;USD;<null>;FOB  ;CIF  ;FOB  ;71;116;2026-03-07;2026-03-07;<null>;BINTER TRADE LLC. (Dropship EPA - VE) ;<null>;<null>;<null>;VZ Julio 25 CNY #2;<null>;<null>;false;false;CNY;EPA;OLO6;Booking;80001392-53;CMA CGM;Contenedor 40 HC;0;02-03-26;02-03-26;16/02/2026;22-03-26;22-03-26;;;;;5460;0;0;IN OCEAN;0;0;N
6701261;329;TAIZHOU BAOLI LEISURE PRODUCTS CO.,LTD                     ;85;2025-08-14;Directo VE - FERRETERIA EPA, C.A.;15694,60;USD;<null>;FOB  ;CIF  ;FOB  ;71;116;2026-03-07;2026-03-07;<null>;BINTER TRADE LLC. (Dropship EPA - VE) ;<null>;<null>;<null>;VZ Julio 25 CNY #3;<null>;<null>;false;false;CNY;EPA;OLO6;Booking;80001392-54;CMA CGM;Contenedor 40 HC;0;02-03-26;02-03-26;16/02/2026;22-03-26;22-03-26;;;;;5460;0;0;IN OCEAN;0;0;N
6701277;866;NINGBO AOTIAN ELECTRICAL APPLIANCES CO L;83;2025-08-19;Directo CR - FERRETERIA EPA, S.A.;12679,00;USD;<null>;FOB  ;FOB  ;FOB  ;47;125;2026-01-01;2026-01-01;7512;BINTER TRADE LLC. (Dropship CR);-- N/A --;101763;2026-02-02;PI3CR+VE;CF25-6701277;12679,00;false;true;CNY;EPA;OLO6;Transito;MSMU8236405;MSC;Contenedor 40 HC;HNGB00070630;08-01-26;08-01-26;06/01/2026;23-01-26;06-02-26;19-01-26;24-02-26;14-03-26;;3750;0;NAC;SPARX;0;0;N
6701278;866;NINGBO AOTIAN ELECTRICAL APPLIANCES CO L;83;2025-08-19;ZF - OVERSEAS LOGISTICS OPERATIONS;5499,00;USD;<null>;FOB  ;<null>;<null>;47;125;2026-01-01;2026-01-01;7526;BINTER TRADE LLC. (ZF);;<null>;<null>;PI3CR+VE;CF25-6707278;5499,00;true;false;CNY;EPA;OLO6;Transito;MSMU8236405;MSC;Contenedor 40 HC;HNGB00070631;08-01-26;08-01-26;06/01/2026;23-01-26;06-02-26;19-01-26;24-02-26;14-03-26;;0;0;NAC;SPARX;0;0;N
6701281;866;NINGBO AOTIAN ELECTRICAL APPLIANCES CO L;83;2025-08-19;Directo SV - FERRETERIA EPA, S.A. DE C.V.;21785,60;USD;<null>;FOB  ;FOB  ;FOB  ;47;122;2025-12-15;2025-12-15;7298;BINTER TRADE LLC. (Dropship SV);-- N/A --;101523;2026-01-06;PI6SV;CF25-6701281;21785,60;true;false;CNY;EPA;OLO6;Transito;CAAU5685030;HAPAG LLOYD;Contenedor 40 HC;ASNGB512759;04-12-25;04-12-25;03/12/2025;21-12-25;28-12-25;22-12-25;30-01-26;03-02-26;;3420;0;NAC;AIR SEA WORLDWIDE;0;0;N
6701282;866;NINGBO AOTIAN ELECTRICAL APPLIANCES CO L;83;2025-08-19;Directo SV - FERRETERIA EPA, S.A. DE C.V.;21785,60;USD;<null>;FOB  ;FOB  ;FOB  ;47;122;2026-01-01;2026-01-01;7523;BINTER TRADE LLC. (Dropship SV);-- N/A --;101771;2026-02-02;PI7SV;CF25-6701282;21785,60;true;false;CNY;EPA;OLO6;Transito;TEMU7139170;CMA CGM;Contenedor 40 HC;HNGB00070661;09-01-26;09-01-26;06/01/2026;16-01-26;04-02-26;21-01-26;06-03-26;06-03-26;;3350;0;NAC;SPARX;0;0;N
6701286;865;HENAN LORY SANITARY WARE CO.,LTD.;89;2025-08-20;Directo VE - Febeca, C.A.;8277,50;USD;<null>;FOB  ;FOB  ;<null>;77;121;2026-03-15;2026-03-15;<null>;BINTER TRADE LLC. (Dropship FEBECA - VE) ;<null>;<null>;<null>;dif fe 1;<null>;<null>;false;false;CNY;EPA;OLO6;Produccion;VTCN600738;0;Contenedor 40 HC;0;;;09/03/2026;;;;;;;0;0;0;IN OCEAN;0;0;N
6701287;865;HENAN LORY SANITARY WARE CO.,LTD.;89;2025-08-20;Directo VE - Febeca, C.A.;8277,50;USD;<null>;FOB  ;FOB  ;<null>;77;121;2026-03-15;2026-03-15;<null>;BINTER TRADE LLC. (Dropship FEBECA - VE) ;<null>;<null>;<null>;dif fe 2;<null>;<null>;false;false;CNY;EPA;OLO6;Produccion;VTCN600739;0;Contenedor 40 HC;0;;;09/03/2026;;;;;;;0;0;0;IN OCEAN;0;0;N
6701288;865;HENAN LORY SANITARY WARE CO.,LTD.;89;2025-08-20;Directo VE - Febeca, C.A.;8295,00;USD;<null>;FOB  ;FOB  ;<null>;77;121;2026-03-15;2026-03-15;<null>;BINTER TRADE LLC. (Dropship FEBECA - VE) ;<null>;<null>;<null>;dif feb 3;<null>;<null>;false;false;CNY;EPA;OLO6;Produccion;VTCN600740;0;Contenedor 40 HC;0;;;09/03/2026;;;;;;;0;0;0;IN OCEAN;0;0;N
6701292;329;TAIZHOU BAOLI LEISURE PRODUCTS CO.,LTD                     ;85;2025-08-21;Directo GT - FERRETERIA EPA, S.A. (Guatemala);19140,00;USD;<null>;FOB  ;FOB  ;FOB  ;71;127;2026-03-01;2026-03-01;7643;BINTER TRADE LLC. (Dropship GT);-- N/A --;101903;2026-03-09;Pedido Extra GT CNY 25 Dinámica #4;BLN26D008;19140,00;false;false;PROMOCIÓN;EPA;OLO6;Transito;TRLU7576130;CMA CGM;Contenedor 40 HC;HNGB00071274;26-02-26;26-02-26;;09-03-26;16-03-26;11-03-26;23-04-26;23-04-26;;4500;0;NAC;SPARX;0;0;N
